Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Flexipowerplant Einspeisung in MWh,EE + Speicher + Flexible in MWh
2030-06-26 16:45:00,3455.154611968981,0.0,-11214.888137022419,14670.0427489914
2030-06-26 17:00:00,3320.617012865072,0.0,-11336.926849813039,14657.54386267811
2030-06-26 17:15:00,3245.0587181928345,0.0,-11444.485925235342,14689.544643428177
2030-06-26 17:30:00,3189.229871305793,0.0,-11416.565812048346,14605.79568335414
2030-06-26 17:45:00,3058.8191762256665,0.0,-11426.727144376631,14485.546320602298
2030-06-26 18:00:00,3038.2059277650287,0.0,-11515.340546501768,14553.546474266797
2030-06-26 18:15:00,3039.5215604235095,0.0,-11451.775047394945,14491.296607818455
2030-06-26 18:30:00,2931.7074038443816,0.0,-11474.590090045545,14406.297493889928
2030-06-26 18:45:00,2846.638170208522,0.0,-11553.410645105205,14400.048815313727
2030-06-26 19:00:00,2704.196299467021,0.0,-11750.0,14454.196299467021
2030-06-26 19:15:00,2647.611428719378,0.0,-11580.188263095552,14227.79969181493
2030-06-26 19:30:00,2625.8510201511626,0.0,-11544.699262293641,14170.550282444805
2030-06-26 19:45:00,2627.074363202495,0.0,-11462.726685247677,14089.801048450172
2030-06-26 20:00:00,2571.993843310225,0.0,-11498.306955571574,14070.300798881799
2030-06-26 20:15:00,2608.0250428100007,0.0,-11367.02607152938,13975.051114339381
2030-06-26 20:30:00,2638.6189180166393,0.0,-11227.43257320291,13866.05149121955
2030-06-26 20:45:00,2723.0133162667007,0.0,-11052.288597888783,13775.301914155483
2030-06-26 21:00:00,2817.636794228765,0.0,-10744.164438526419,13561.801232755184
2030-06-26 21:15:00,2813.173923877618,0.0,-10681.377079042057,13494.551002919674
2030-06-26 21:30:00,2832.8903708170055,0.0,-10529.911007127643,13362.801377944648
2030-06-26 21:45:00,2876.276540459925,0.0,-10430.025238944358,13306.301779404283
2030-06-26 22:00:00,2961.2839404462475,0.0,-10298.266826312374,13259.55076675862
2030-06-26 22:15:00,3014.685696739226,0.0,-10065.86458578381,13080.550282523036
2030-06-26 22:30:00,3017.0509669943817,0.0,-9805.748867413484,12822.799834407866
2030-06-26 22:45:00,3085.382202906007,0.0,-9471.667899953729,12557.050102859735
2030-06-26 23:00:00,3127.3524245288245,0.0,-9185.446572865916,12312.79899739474
2030-06-26 23:15:00,3160.8682745795377,0.0,-8917.930976306307,12078.799250885844
2030-06-26 23:30:00,3184.276048728444,0.0,-8682.2736458283,11866.549694556743
2030-06-26 23:45:00,3220.616070465233,0.0,-8455.433421286707,11676.049491751939
2030-06-27 00:00:00,3208.198102542035,0.0,-8394.102115406818,11602.300217948854
2030-06-27 00:15:00,3233.7594856767655,0.0,-8351.04067330447,11584.800158981234
2030-06-27 00:30:00,3343.1412838929436,0.0,-8168.408853306518,11511.550137199461
2030-06-27 00:45:00,3362.3928822464677,0.0,-8075.657591864523,11438.05047411099
2030-06-27 01:00:00,3361.0461282752694,0.0,-7774.004149587428,11135.050277862698
2030-06-27 01:15:00,3353.8634160268566,0.0,-7697.436340734784,11051.29975676164
2030-06-27 01:30:00,3403.371339138179,0.0,-7463.17809820217,10866.549437340349
2030-06-27 01:45:00,3483.0882194335913,0.0,-7322.961081322714,10806.049300756305
2030-06-27 02:00:00,3490.7327364776356,0.0,-7292.816526016213,10783.549262493849
2030-06-27 02:15:00,3561.1540282043393,0.0,-7147.895654383046,10709.049682587385
2030-06-27 02:30:00,3603.499539972521,0.0,-7100.301642401837,10703.801182374358
2030-06-27 02:45:00,3614.560280595073,0.0,-7099.9916825069995,10714.551963102072
2030-06-27 03:00:00,3643.720864373583,0.0,-7067.331551686537,10711.05241606012
2030-06-27 03:15:00,3646.2848113744503,0.0,-7086.018268357312,10732.303079731762
2030-06-27 03:30:00,3643.5856557244765,0.0,-7085.219245666791,10728.804901391268
2030-06-27 03:45:00,3670.2269188190207,0.0,-7131.078907666137,10801.305826485157
2030-06-27 04:00:00,3704.952847952763,0.0,-7130.603347231825,10835.556195184588
2030-06-27 04:15:00,3665.9379427987014,0.0,-7220.36851568568,10886.306458484381
2030-06-27 04:30:00,3589.254765591375,0.0,-7304.301932023116,10893.556697614491
2030-06-27 04:45:00,3541.6610788880653,0.0,-7391.89593543198,10933.557014320046
2030-06-27 05:00:00,3576.5823541221034,0.0,-7584.474215528666,11161.05656965077
2030-06-27 05:15:00,3560.929254153294,0.0,-7672.127376622038,11233.056630775332
2030-06-27 05:30:00,3502.9154203195767,0.0,-7878.641695771675,11381.557116091251
2030-06-27 05:45:00,3384.0724682726177,0.0,-8347.734545663723,11731.80701393634
2030-06-27 06:00:00,3332.8726071927767,0.0,-9124.93414518348,12457.806752376258
2030-06-27 06:15:00,3235.9570198037295,0.0,-9794.099693736378,13030.056713540107
2030-06-27 06:30:00,3203.967881874967,0.0,-10174.338956946653,13378.30683882162
2030-06-27 06:45:00,3092.641747379847,0.0,-10507.164780361407,13599.806527741253
2030-06-27 07:00:00,3136.7277419119328,0.0,-10774.32771666728,13911.055458579212
2030-06-27 07:15:00,3143.380490165372,0.0,-11023.42484481616,14166.80533498153
2030-06-27 07:30:00,3139.979368918045,0.0,-11224.325349594998,14364.304718513042
2030-06-27 07:45:00,3217.574651809326,0.0,-11301.729714891026,14519.304366700351
2030-06-27 08:00:00,3434.7172091162292,0.0,-11245.086536213152,14679.80374532938
2030-06-27 08:15:00,3612.312128304823,0.0,-11186.990569830552,14799.302698135376
2030-06-27 08:30:00,3727.4500417095355,0.0,-11112.10214670182,14839.552188411355
2030-06-27 08:45:00,3925.6151717809603,0.0,-11036.68591515146,14962.30108693242
2030-06-27 09:00:00,4079.253630082342,0.0,-10815.795991622625,14895.049621704966
